Year,Make,Model,Price,KM Driven,Fuel Type,Transmission,Location_code,Location,Link
2013,Amaze,1.2L I-VTEC S,221000.0,100000.0,CNG,Manual,MH-01,"Goregaon, Mumbai",https://www.cars24.com/buy-used-honda-amaze-2013-cars-mumbai-10383244781/
2017,WR-V,1.2L I-VTEC VX MT,475000.0,96230.0,Petrol,Manual,MH-01,"Goregaon, Mumbai",https://www.cars24.com/buy-used-honda-wr-v-2017-cars-mumbai-10384103777/
2014,Brio,VX MT,271000.0,28410.0,Petrol,Manual,MH-43,"Mulund West, Mumbai",https://www.cars24.com/buy-used-honda-brio-2014-cars-mumbai-10344904773/
2015,Amaze,1.2L I-VTEC SX,333000.0,36980.0,Petrol,Manual,MH-02,Seawood,https://www.cars24.com/buy-used-honda-amaze-2015-cars-mumbai-10339108751/
2015,City,1.5L I-VTEC V MT,401000.0,74040.0,Petrol,Manual,MH-02,"Mulund West, Mumbai",https://www.cars24.com/buy-used-honda-city-2015-cars-mumbai-10323509772/
2022,City,1.5L I-VTEC V CVT 5TH GEN,915000.0,37940.0,Petrol,Auto,MH-03,Seawood,https://www.cars24.com/buy-used-honda-city-2022-cars-mumbai-10346921762/
2017,WR-V,1.2L I-VTEC VX MT,509000.0,48660.0,Petrol,Manual,MH-46,Seawood,https://www.cars24.com/buy-used-honda-wr-v-2017-cars-mumbai-10329309719/
2015,Jazz,1.2L I-VTEC VX,364000.0,20250.0,Petrol,Manual,MH-02,Seawood,https://www.cars24.com/buy-used-honda-jazz-2015-cars-mumbai-10363545748/
2013,City,1.5L I-VTEC V MT,338000.0,55330.0,Petrol,Manual,MH-02,Thakur Village Kandivali E Mumbai,https://www.cars24.com/buy-used-honda-city-2013-cars-mumbai-10375006758/
2018,Amaze,1.5L I-DTEC V CVT,625000.0,71000.0,Diesel,Auto,MH-01,"Goregaon, Mumbai",https://www.cars24.com/buy-used-honda-amaze-2018-cars-mumbai-10383340738/
2017,WR-V,1.2L I-VTEC VX MT,442000.0,57140.0,Petrol,Manual,MH-47,Thakur Village Kandivali E Mumbai,https://www.cars24.com/buy-used-honda-wr-v-2017-cars-mumbai-10367102793/
2014,Brio,VX AT,311000.0,34410.0,Petrol,Auto,MH-01,Seawood,https://www.cars24.com/buy-used-honda-brio-2014-cars-mumbai-10354349726/
2018,BR-V,1.5L I-VTEC S,630000.0,29810.0,Petrol,Manual,MH-05,"Regency Anantam, Dombivli East",https://www.cars24.com/buy-used-honda-br-v-2018-cars-mumbai-10336103710/
2014,City,1.5L I-VTEC VX,401000.0,75620.0,Petrol,Manual,MH-02,Seawood,https://www.cars24.com/buy-used-honda-city-2014-cars-mumbai-10321309797/
2016,Jazz,1.2L I-VTEC V AT,384000.0,60220.0,Petrol,Auto,MH-02,"Korum Mall, Thane West",https://www.cars24.com/buy-used-honda-jazz-2016-cars-mumbai-10339007772/
2016,Amaze,1.2L I-VTEC S AT,348000.0,53660.0,Petrol,Auto,MH-01,"Regency Anantam, Dombivli East",https://www.cars24.com/buy-used-honda-amaze-2016-cars-mumbai-10324309774/
2021,City,1.5L I-VTEC VX CVT,855000.0,68630.0,Petrol,Auto,MH-04,"Mulund West, Mumbai",https://www.cars24.com/buy-used-honda-city-2021-cars-mumbai-10404149761/
